symptom,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
tongue bleeding,local_pressure|antiseptics,pressure application|chlorhexidine mouthwash,suture|evaluation,delay_in_care,evaluate trauma or lesion,who|nice,moderate
change in skin mole size or color,dermatology_evaluation|biopsy,dermoscopy|biopsy,excision|mri,delay_in_evaluation,evaluate melanoma risk,who|nice,severe
penis redness,antifungals|antibiotics,clotrimazole|doxycycline,ceftriaxone|fluconazole,unprotected_intercourse,evaluate infection,who|nice,moderate
penile discharge,antibiotics|sti_evaluation,doxycycline|ceftriaxone,azithromycin|metronidazole,unprotected_intercourse,evaluate sexually transmitted infection,who|nice,moderate
shoulder lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,severe
polyuria,diabetes_management|hydration,insulin|metformin,desmopressin|evaluation,untreated_diabetes,evaluate endocrine cause,who|nice,moderate
cloudy eye,ophthalmology_evaluation|cataract_surgery,examination|cataract surgery,anti vegf|prednisolone,delay_in_referral,evaluate cataract,who|nice,severe
hysterical behavior,psychotherapy|antipsychotic,cognitive behavioral therapy|risperidone,olanzapine|ssris,alcohol|stimulant,evaluate psychiatric disorder,dsm5|nice,severe
arm lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate tumor,who|nice,severe
nightmares,behavioral_therapy|ssri,cognitive behavioral therapy|sertraline,prazosin|evaluation,stress_triggers,evaluate anxiety disorder,dsm5|nice,mild_moderate
bleeding gums,dental_care|vitamin_supplementation,scaling|vitamin c,antibiotics|evaluation,poor_oral_hygiene,evaluate gingivitis,who|nice,moderate
pain in gums,analgesics|antibiotics,paracetamol|amoxicillin,ibuprofen|metronidazole,delay_in_dental_care,evaluate dental infection,who|nice,moderate
bedwetting,behavioral_therapy|desmopressin,bladder training|desmopressin,imipramine|alarm therapy,punishment,evaluate nocturnal enuresis,who|nice,moderate
diaper rash,topical_zinc_oxide|antifungals,zinc oxide|clotrimazole,hydrocortisone cream|miconazole,poor_hygiene,keep area dry,who|nice,mild
lump or mass of breast,imaging|biopsy,mammography|biopsy,excision|oncology referral,delay_in_evaluation,evaluate malignancy risk,who|nice,severe
vaginal bleeding after menopause,urgent_gynecological_evaluation|biopsy,ultrasound|biopsy,surgery|hormonal therapy,delay_in_evaluation,evaluate endometrial cancer,who|nice,severe
infrequent menstruation,hormonal_therapy|evaluation,combined oral contraceptives|thyroid testing,progesterone therapy|fertility therapy,untreated_endocrine_disorder,evaluate hormonal imbalance,who|nice,moderate
mass on vulva,biopsy|surgical_evaluation,examination|biopsy,excision|oncology referral,delay_in_evaluation,evaluate malignancy,who|nice,severe
jaw pain,analgesics|antibiotics,paracetamol|amoxicillin,ibuprofen|metronidazole,delay_in_dental_evaluation,evaluate dental abscess,who|nice,moderate
itching of scrotum,antifungals|antihistamine,clotrimazole|loratadine,miconazole|hydrocortisone cream,poor_hygiene,evaluate fungal infection,who|nice,mild_moderate
postpartum problems of the breast,antibiotics|analgesics,amoxicillin|paracetamol,ibuprofen|surgical drainage,delay_in_evaluation,evaluate mastitis,who|nice,moderate
eyelid retracted,thyroid_evaluation|ophthalmology_referral,thyroid hormone testing|lubricants,surgery|steroids,delay_in_evaluation,evaluate thyroid eye disease,who|nice,moderate
hesitancy,alpha_blocker|urology_evaluation,tamsulosin|evaluation,finasteride|surgery,untreated_obstruction,evaluate benign prostatic hyperplasia,who|nice,moderate
elbow lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate cyst or tumor,who|nice,severe
muscle weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate neuromuscular disorder,who|nice,moderate_severe
throat redness,antibiotics|analgesics,amoxicillin|paracetamol,ibuprofen|ceftriaxone,delay_in_treatment,evaluate pharyngitis,who|nice,moderate
joint swelling,nsaid|corticosteroid,ibuprofen|prednisolone,naproxen|methotrexate,delay_in_evaluation,evaluate arthritis,who|nice,moderate
tongue pain,analgesics|antiseptics,paracetamol|chlorhexidine mouthwash,ibuprofen|antifungals,smoking,evaluate ulcer or infection,who|nice,mild_moderate
redness in or around nose,antihistamine|topical_corticosteroids,loratadine|hydrocortisone cream,fluticasone|mupirocin,allergen_exposure,evaluate dermatitis,who|nice,mild
wrinkles on skin,topical_retinoids|moisturizers,tretinoin|emollients,laser therapy|antioxidants,excess_sun_exposure,photoaging related,who|nice,mild
foot or toe weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate nerve disorder,who|nice,moderate
hand or finger cramps or spasms,muscle_relaxants|electrolyte_replacement,baclofen|magnesium,diazepam short term|hydration,dehydration,evaluate metabolic cause,who|nice,moderate
back stiffness or tightness,nsaid|physical_therapy,ibuprofen|rehabilitation,naproxen|baclofen,long_term_opioid_use,evaluate musculoskeletal cause,who|nice,moderate
wrist lump or mass,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate ganglion cyst,who|nice,moderate_severe
skin pain,analgesics|topical_corticosteroids,paracetamol|hydrocortisone cream,ibuprofen|antihistamines,evaluate_infection,evaluate dermatologic cause,who|nice,moderate
low back stiffness or tightness,nsaid|physical_therapy,ibuprofen|rehabilitation,naproxen|baclofen,long_term_opioid_use,evaluate musculoskeletal cause,who|nice,moderate
low urine output,fluid_resuscitation|renal_evaluation,iv fluids|monitoring,dialysis|hospital admission,delay_in_emergency_care,evaluate renal failure,who|nice,severe
skin on head or neck looks infected,antibiotics|wound_care,amoxicillin|mupirocin,cephalexin|clindamycin,delay_in_treatment,evaluate cellulitis,who|nice,moderate
stuttering or stammering,speech_therapy|behavioral_therapy,speech therapy|cognitive behavioral therapy,ssris|evaluation,stress_triggers,evaluate speech disorder,who|nice,mild_moderate
problems with orgasm,psychotherapy|hormonal_evaluation,cognitive behavioral therapy|hormone testing,ssris adjustment|counseling,alcohol|untreated_depression,evaluate psychological cause,dsm5|nice,moderate
nose deformity,surgical_evaluation|imaging,ct scan|otolaryngology referral,reconstructive surgery|biopsy,delay_in_evaluation,evaluate structural abnormality,who|nice,moderate
lump over jaw,imaging|biopsy,ultrasound|biopsy,excision|mri,delay_in_evaluation,evaluate tumor or abscess,who|nice,severe
sore in nose,topical_antibiotics|saline_irrigation,mupirocin|saline spray,oral antibiotics|evaluation,picking_nose,evaluate infection,who|nice,mild_moderate
hip weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate nerve disorder,who|nice,moderate
back swelling,nsaid|imaging|rest,ibuprofen|ultrasound,prednisolone|mri,delay_in_evaluation,evaluate infection or tumor,who|nice,moderate_severe
ankle stiffness or tightness,nsaid|physical_therapy,ibuprofen|rehabilitation,naproxen|prednisolone,long_term_opioid_use,evaluate arthritis,who|nice,moderate
ankle weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate nerve disorder,who|nice,moderate
neck weakness,physical_therapy|neurological_evaluation,rehabilitation|imaging,prednisolone|surgery,delay_in_evaluation,evaluate neuromuscular disorder,who|nice,moderate_severe
