disease,drug_classes,first_line_drugs,second_line_drugs,avoid_drugs,notes,source,severity_level
seasonal allergies (hay fever),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lung cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
primary kidney disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
uterine cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dry eye of unknown cause,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fibrocystic breast disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fungal infection of the hair,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tooth abscess,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
envenomation from spider or animal bite,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vacterl syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vertebrobasilar insufficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
rectal disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
atonic bladder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
benign paroxysmal positional vertical (bppv),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
blepharospasm,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sarcoidosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
metastatic cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
trigger finger (finger disorder),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
stye,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hemochromatosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
osteochondroma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cushing syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
typhoid fever,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vitreous degeneration,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
atrophic skin condition,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
aspergillosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
uterine atony,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
trichinosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
whooping cough,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the lip,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
subacute thyroiditis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
oral mucosal lesion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound due to trauma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
intracerebral hemorrhage,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
alzheimer disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vaginismus,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
systemic lupus erythematosis (sle),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
premature ovarian failure,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
thoracic outlet syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ganglion cyst,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the knee,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
crohn disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
postoperative infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
folate deficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fluid overload,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
atrial flutter,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
skin disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
floaters,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tooth disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
heart attack,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the abdomen,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the leg,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
oral thrush (yeast infection),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pityriasis rosea,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
allergy to animals,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
orthostatic hypotension,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
obstructive sleep apnea (osa),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypokalemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
psoriasis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the shoulder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
intussusception,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cervicitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
abscess of the pharynx,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
primary thrombocythemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
arthritis of the hip,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
decubitus ulcer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypernatremia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sensorineural hearing loss,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chronic ulcer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
osteoporosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ileus,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sickle cell crisis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
urethritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
prostatitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
otitis externa (swimmer's ear),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
poisoning due to anticonvulsants,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
testicular torsion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tricuspid valve disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
urethral stricture,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
vitamin d deficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hydatidiform mole,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pain disorder affecting the neck,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tuberculosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pelvic fistula,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute bronchiolitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
presbyopia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dementia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
insect bite,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
paroxysmal ventricular tachycardia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
congenital heart defect,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
connective tissue disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
foreign body in the eye,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
poisoning due to gas,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pyogenic skin infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
endometrial hyperplasia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acanthosis nigricans,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
central atherosclerosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
viral exanthem,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
noninfectious gastroenteritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
benign prostatic hyperplasia (bph),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
menopause,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
primary immunodeficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ovarian cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
cataract,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the hip,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
spinal stenosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
intestinal obstruction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
heart contusion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
congenital malformation syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
sporotrichosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lymphangitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
wernicke korsakoff syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
intestinal disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute bronchitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
persistent vomiting of unknown cause,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the foot,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
myocarditis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
preeclampsia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ischemic heart disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
neurofibromatosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chickenpox,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pancreatic cancer,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
neuropathy due to drugs,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
croup,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
idiopathic excessive menstruation,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
amblyopia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
meckel diverticulum,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dislocation of the wrist,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ear drum damage,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
erectile dysfunction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
temporary or benign blood in urine,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
kidney disease due to longstanding hypertension,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chondromalacia of the patella,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
onychomycosis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
urethral disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lyme disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
iron deficiency anemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acute respiratory distress syndrome (ards),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
toxic multinodular goiter,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
open wound of the finger,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
autonomic nervous system disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
psychosexual disorder,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anemia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
tendinitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
common cold,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
amyotrophic lateral sclerosis (als),supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
central retinal artery or vein occlusion,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
paroxysmal supraventricular tachycardia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
venous insufficiency,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
trichomonas infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
acne,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
depression,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
drug abuse,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
urinary tract obstruction,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
diabetes insipidus,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
iridocyclitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
varicocele of the testicles,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
irritable bowel syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the foot,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
ovarian cyst,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
chlamydia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
parasitic disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
fracture of the jaw,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lipoma,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
female genitalia infection,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
pulmonary hypertension,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
thyroid nodule,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
broken tooth,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
dumping syndrome,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
lymphadenitis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
injury to the face,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
aortic valve disease,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
rheumatoid arthritis,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
spermatocele,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
impetigo,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
anal fistula,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
hypothermia,supportive care|treat underlying cause,symptomatic treatment|evaluation,specialist referral|advanced therapy,delay in treatment,requires clinical evaluation,who|nice guidelines,moderate
